name,date,location,description,link
AI Summit,Conferences held year-round in different cities,"In-person conferences are held in Boston, Toronto, London, New York City, San Francisco, Seattle",Series of AI-focused conferences dedicated to the role of AI in a variety of different fields.,https://www.re-work.co/events?utf8=%E2%9C%93&q%5Bvenue_city_cont%5D=&q%5Bfeature_topics_title_cont%5D=&q%5Bevent_type_cont%5D=Summit&q%5Bend_date%5D=q%5Bend_date_gteq%5D&q%5Bend_date_gteq%5D=2020-03-31
CES,Early January,"Las Vegas, NV",Large scale non-AI specific conference where innovation and technology from large companies are often unveiled.,https://www.ces.tech/
AI Innovation Summit,Varies,"San Francisco, CA",Smaller-scale AI focused conference featuring speakers from AI-centric positions in large companies.,https://aifow.com/ai2020
Michigan AI Symposium,Mid-October,"University of Michigan, Ann Arbor, MI","Smaller-scale event with research-focused talks, posters and demos.",https://ai.engin.umich.edu/events/2019-ai-symposium/
AI4,Early September,"Las Vegas, NV",AI conference exploring the usage of AI in a variety of different fields.,https://ai4.io/
AI for Business Summit,Early August,"Sydney, Australia",AI conference focusing on the application of AI in a variety of businesses.,https://www.aisummitaustralia.com.au/
